OrderID,OrderDate,CustomerID,CustomerName,ProductID,Quantity,UnitPrice,Discount,Region,SalesRep
1031,2024-04-15,C005,Evergreen Co,P006,8,200.00,0.00,North,Maria Johnson
1032,2024-04-18,C003,Crestwood Inc,P003,22,45.00,0.05,East,Carlos Rivera
1033,2024-04-22,C006,Focal Point Ltd,P004,3,120.00,0.10,South,James Smith
1034,2024-04-25,C007,Granite Works,P002,1,850.00,0.00,East,Carlos Rivera
1035,2024-04-29,C009,Ironbridge Co,P001,4,1200.00,0.05,East,Carlos Rivera
1036,2024-05-02,C004,Delta Corp,P005,16,60.00,0.00,West,Sarah Lee
1037,2024-05-06,C008,Harbor Group,P006,5,200.00,0.10,South,James Smith
1038,2024-05-09,C001,Apex Solutions,P003,25,45.00,0.00,North,Maria Johnson
1039,2024-05-13,C002,Bright Path LLC,P002,2,850.00,0.05,South,James Smith
1040,2024-05-16,C010,Jetstream Inc,P004,9,120.00,0.10,West,Sarah Lee
1041,2024-05-20,C005,Evergreen Co,P001,3,1200.00,0.00,North,Maria Johnson
1042,2024-05-23,C009,Ironbridge Co,P006,7,200.00,0.05,East,Carlos Rivera
1043,2024-05-27,C003,Crestwood Inc,P005,11,60.00,0.10,East,Carlos Rivera
1044,2024-05-30,C006,Focal Point Ltd,P003,14,45.00,0.00,South,James Smith
1045,2024-06-03,C010,Jetstream Inc,P001,2,1200.00,0.05,West,Sarah Lee
1046,2024-06-06,C004,Delta Corp,P002,4,850.00,0.10,West,Sarah Lee
1047,2024-06-10,C007,Granite Works,P004,6,120.00,0.00,East,Carlos Rivera
1048,2024-06-13,C008,Harbor Group,P005,20,60.00,0.05,South,James Smith
1049,2024-06-17,C001,Apex Solutions,P006,3,200.00,0.10,North,Maria Johnson
1050,2024-06-20,C010,Jetstream Inc,P003,18,45.00,0.00,West,Sarah Lee
1051,2024-07-01,C002,Bright Path LLC,P001,1,1200.00,0.05,South,James Smith
1052,2024-07-04,C005,Evergreen Co,P004,10,120.00,0.10,North,Maria Johnson
1053,2024-07-08,C009,Ironbridge Co,P002,2,850.00,0.00,East,Carlos Rivera
1054,2024-07-11,C003,Crestwood Inc,P006,9,200.00,0.05,East,Carlos Rivera
1055,2024-07-15,C006,Focal Point Ltd,P003,16,45.00,0.10,South,James Smith
1056,2024-07-18,C010,Jetstream Inc,P005,12,60.00,0.00,West,Sarah Lee
1057,2024-07-22,C007,Granite Works,P001,3,1200.00,0.05,East,Carlos Rivera
1058,2024-07-25,C004,Delta Corp,P004,7,120.00,0.10,West,Sarah Lee
1059,2024-07-29,C008,Harbor Group,P002,1,850.00,0.00,South,James Smith
1060,2024-08-01,C001,Apex Solutions,P003,20,45.00,0.05,North,Maria Johnson
1061,2024-08-05,C002,Bright Path LLC,P005,14,60.00,0.10,South,James Smith
1062,2024-08-08,C009,Ironbridge Co,P001,2,1200.00,0.00,East,Carlos Rivera
1063,2024-08-12,C005,Evergreen Co,P006,6,200.00,0.05,North,Maria Johnson
1064,2024-08-15,C003,Crestwood Inc,P004,11,120.00,0.10,East,Carlos Rivera
1065,2024-08-19,C010,Jetstream Inc,P002,3,850.00,0.00,West,Sarah Lee
1066,2024-08-22,C006,Focal Point Ltd,P001,1,1200.00,0.05,South,James Smith
1067,2024-08-26,C007,Granite Works,P003,24,45.00,0.10,East,Carlos Rivera
1068,2024-08-29,C004,Delta Corp,P005,18,60.00,0.00,West,Sarah Lee
1069,2024-09-02,C008,Harbor Group,P006,4,200.00,0.05,South,James Smith
1070,2024-09-05,C001,Apex Solutions,P004,8,120.00,0.10,North,Maria Johnson
1071,2024-09-09,C002,Bright Path LLC,P002,2,850.00,0.00,South,James Smith
1072,2024-09-12,C009,Ironbridge Co,P003,15,45.00,0.05,East,Carlos Rivera
1073,2024-09-16,C005,Evergreen Co,P001,4,1200.00,0.10,North,Maria Johnson
1074,2024-09-19,C010,Jetstream Inc,P006,7,200.00,0.00,West,Sarah Lee
1075,2024-09-23,C003,Crestwood Inc,P005,13,60.00,0.05,East,Carlos Rivera
1076,2024-09-26,C006,Focal Point Ltd,P004,5,120.00,0.10,South,James Smith
1077,2024-09-30,C007,Granite Works,P002,3,850.00,0.00,East,Carlos Rivera
1078,2024-10-03,C004,Delta Corp,P001,2,1200.00,0.05,West,Sarah Lee
1079,2024-10-07,C008,Harbor Group,P003,19,45.00,0.10,South,James Smith
1080,2024-10-10,C001,Apex Solutions,P005,10,60.00,0.00,North,Maria Johnson
1081,2024-10-14,C002,Bright Path LLC,P006,6,200.00,0.05,South,James Smith
1082,2024-10-17,C009,Ironbridge Co,P004,8,120.00,0.10,East,Carlos Rivera
1083,2024-10-21,C005,Evergreen Co,P002,1,850.00,0.00,North,Maria Johnson
1084,2024-10-24,C010,Jetstream Inc,P001,3,1200.00,0.05,West,Sarah Lee
1085,2024-10-28,C003,Crestwood Inc,P003,22,45.00,0.10,East,Carlos Rivera
1086,2024-11-01,C006,Focal Point Ltd,P005,15,60.00,0.00,South,James Smith
1087,2024-11-04,C007,Granite Works,P006,5,200.00,0.05,East,Carlos Rivera
1088,2024-11-08,C004,Delta Corp,P004,9,120.00,0.10,West,Sarah Lee
1089,2024-11-11,C008,Harbor Group,P001,2,1200.00,0.00,South,James Smith
1090,2024-11-15,C001,Apex Solutions,P002,4,850.00,0.05,North,Maria Johnson
1091,2024-11-18,C009,Ironbridge Co,P003,17,45.00,0.10,East,Carlos Rivera
1092,2024-11-22,C002,Bright Path LLC,P005,12,60.00,0.00,South,James Smith
1093,2024-11-25,C010,Jetstream Inc,P006,6,200.00,0.05,West,Sarah Lee
1094,2024-11-29,C005,Evergreen Co,P004,10,120.00,0.10,North,Maria Johnson
1095,2024-12-02,C003,Crestwood Inc,P001,3,1200.00,0.00,East,Carlos Rivera
1096,2024-12-06,C006,Focal Point Ltd,P002,2,850.00,0.05,South,James Smith
1097,2024-12-09,C007,Granite Works,P005,20,60.00,0.10,East,Carlos Rivera
1098,2024-12-13,C004,Delta Corp,P006,7,200.00,0.00,West,Sarah Lee
1099,2024-12-16,C008,Harbor Group,P003,14,45.00,0.05,South,James Smith
1100,2024-12-20,C001,Apex Solutions,P001,5,1200.00,0.10,North,Maria Johnson
